timestamp,interval_number,trial_number,is_dynamic_obstacle_present,degree,level,feedback_modality,right_index_button,left_index_button,right_thumbstick_x,right_thumbstick_y,number_of_collision,head_position,head_rotation,collision_position
2.79159,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,56.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.86472,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,57.36)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.93477,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,58.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
3.00417,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,59.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
3.0849,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,60.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
3.15485,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,61.86)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.22305,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,62.76)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.29396,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,63.96)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.37485,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,65.16)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.44135,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,66.06)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.52427,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,67.26)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.59012,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,68.46)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.65283,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,1,"(0.00,0.76,69.36)","(0.00,0.00,0.00)","(0.96,-0.02,61.60)"
3.71711,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,70.26)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
3.78981,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,71.16)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
3.85653,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,72.36)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
3.92242,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,73.26)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
3.99598,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,74.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.05786,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,75.36)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.13024,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,76.56)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.19842,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,77.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.26406,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,78.36)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.3304,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,79.56)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.40104,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,80.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.47084,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,81.36)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.53836,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,82.56)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.61012,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,83.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.67646,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,84.66)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.74881,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,85.86)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.81896,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,86.76)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.88775,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,87.66)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
4.95649,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,88.86)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.02566,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,89.76)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.09531,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,90.96)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.17259,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,91.86)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.23956,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,93.06)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.3056,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,93.96)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.38333,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,95.16)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.45786,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,96.36)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.53181,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,97.56)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.59749,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,98.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.6725,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,99.66)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.73857,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,100.56)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.80645,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,101.46)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
5.87382,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,2,"(0.00,0.76,102.66)","(0.00,0.00,0.00)","(-0.32,-0.07,69.70)"
