timestamp,interval_number,trial_number,is_dynamic_obstacle_present,degree,level,feedback_modality,right_index_button,left_index_button,right_thumbstick_x,right_thumbstick_y,number_of_collision,head_position,head_rotation,collision_position
0.0033,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,21.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.14054,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,24.36)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.20351,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,25.26)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.26251,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,26.16)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.32291,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,27.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.38595,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,27.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.44955,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,28.86)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.5094,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,29.76)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.57355,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,30.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.63691,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,31.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.69724,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,32.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.75755,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,33.36)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.81536,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,34.26)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.87524,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,35.16)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.93363,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,36.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.99746,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,36.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.0585,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,37.86)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.12213,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,39.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.18251,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,39.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.24406,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,40.86)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.30456,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,41.76)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.3703,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,42.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.43164,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,43.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.50146,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,44.76)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.56203,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,45.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.62112,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,46.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.68402,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,47.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.7462,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,48.36)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.81495,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,49.26)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.87684,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,50.16)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.93703,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,51.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
